Depth W14,Temp W14,Depth W47,Temp W47,Depth W1,Temp W1,Depth W4,Temp W4,Depth W5,Temp W5
5,9.05,10,9.52,30,4.08,5,17.11,2,14.52
10,9.23,20,9.56,35,4.03,25,9.78,3,14.196
15,9.36,30,9.63,40,3.93,30,10.38,4,13.656
20,9.51,40,9.63,45,3.84,35,10.82,5,13.109
25,9.72,50,9.61,50,3.71,40,10.7,6,12.604
30,9.97,60,9.6,55,3.66,45,11.02,7,12.141
35,10.24,70,9.62,60,3.64,50,12.05,8,11.735
40,10.52,75,9.63,65,3.6,55,12.36,9,11.382
45,10.8,80,9.63,70,3.59,60,12.39,10,11.078
50,11.07,90,9.65,75,3.58,65,12.57,11,10.806
55,11.34,95,9.67,80,3.57,70,12.74,12,10.56
60,11.7,100,9.67,85,3.56,75,13.05,13,10.337
61,11.74,105,9.67,90,3.56,80,13.42,14,10.133
,,110,9.68,95,3.56,85,13.74,15,9.945
,,120,9.63,100,3.57,90,14.14,16,9.77
,,130,9.66,105,3.57,95,14.62,17,9.609
,,140,9.65,110,3.58,100,15.09,18,9.458
,,145,9.68,115,3.59,105,15.49,19,9.316
,,150,9.7,120,3.61,110,16.07,20,9.18
,,160,9.7,125,3.62,115,16.48,21,9.049
,,165,9.65,130,3.63,120,16.89,22,8.926
,,170,9.65,135,3.64,125,17.5,23,8.81
,,175,9.66,140,3.66,130,18.04,24,8.702
,,179,9.67,145,3.7,135,18.35,25,8.594
,,,,150,3.74,140,18.71,26,8.494
,,,,155,3.78,145,18.81,27,8.396
,,,,160,3.84,150,18.94,28,4.414
,,,,165,3.91,155,19.11,29,3.022
,,,,170,3.99,160,19.5,30,2.955
,,,,175,4.05,165,19.94,31,2.932
,,,,180,4.17,170,20.21,32,2.914
,,,,185,4.27,175,20.62,33,2.905
,,,,190,4.35,180,21.12,34,2.902
,,,,195,4.39,185,21.59,35,2.895
,,,,200,4.53,190,21.79,36,2.89
,,,,205,4.61,195,21.93,37,2.875
,,,,210,4.65,200,22.26,38,2.855
,,,,215,4.77,205,22.92,39,2.838
,,,,220,4.87,210,23.11,40,2.828
,,,,225,4.98,215,23.18,41,2.817
,,,,230,5.38,220,23.21,42,2.807
,,,,235,5.48,225,23.26,43,2.804
,,,,240,5.89,230,23.41,44,2.797
,,,,245,6.16,235,23.5,45,2.796
,,,,250,6.29,240,23.41,46,2.795
,,,,255,6.54,245,23.49,47,2.793
,,,,260,7.02,250,23.48,48,2.793
,,,,265,7.14,255,23.49,49,2.79
,,,,270,7.55,260,23.48,50,2.788
,,,,275,7.95,265,23.5,51,2.789
,,,,280,8.37,270,23.48,52,2.79
,,,,285,8.71,275,23.38,53,2.791
,,,,290,9.11,280,23.36,54,2.791
,,,,295,9.36,285,23.4,55,2.79
,,,,300,9.76,290,23.39,56,2.789
,,,,305,10.24,295,23.37,57,2.79
,,,,310,10.58,300,23.37,58,2.791
,,,,315,11.01,305,23.35,59,2.793
,,,,320,11.38,310,23.34,60,2.796
,,,,325,11.73,315,23.25,61,2.796
,,,,330,12.04,320,23.24,62,2.796
,,,,335,12.36,325,23.25,63,2.794
,,,,340,12.67,330,23.24,64,2.794
,,,,345,12.84,335,23.1,65,2.795
,,,,350,13.14,340,23.03,66,2.8
,,,,355,13.43,345,23.02,67,2.804
,,,,360,13.73,350,23.05,68,2.807
,,,,365,14.12,355,23.08,69,2.812
,,,,370,14.51,360,23.07,70,2.816
,,,,375,15,365,22.96,71,2.817
,,,,380,15.39,370,23.01,72,2.819
,,,,385,15.82,375,22.98,73,2.822
,,,,390,16.25,380,22.98,74,2.824
